date,Justice,Parliament,Economy,Trial
2019-10-27,44,18,81,16
2019-11-03,44,16,76,15
2019-11-10,41,16,73,15
2019-11-17,40,17,76,12
2019-11-24,39,19,75,14
2019-12-01,42,17,69,15
2019-12-08,41,23,71,17
2019-12-15,37,19,67,16
2019-12-22,27,26,56,18
2019-12-29,24,19,57,16
2020-01-05,27,17,65,18
2020-01-12,26,15,61,19
2020-01-19,22,12,57,21
2020-01-26,23,12,56,18
2020-02-02,26,13,65,18
2020-02-09,27,15,65,16
2020-02-16,27,15,67,18
2020-02-23,25,18,67,16
2020-03-01,27,33,70,15
2020-03-08,34,17,82,15
2020-03-15,57,14,88,16
2020-03-22,63,20,100,15
2020-03-29,56,19,87,15
2020-04-05,55,19,82,16
2020-04-12,55,39,91,14
2020-04-19,57,21,96,15
2020-04-26,58,22,86,17
2020-05-03,61,19,86,18
2020-05-10,65,19,86,17
2020-05-17,64,22,79,16
2020-05-24,59,20,85,17
2020-05-31,58,26,85,16
2020-06-07,57,22,84,15
2020-06-14,61,26,85,14
2020-06-21,68,22,95,16
2020-06-28,50,23,82,16
2020-07-05,44,19,79,15
2020-07-12,41,19,87,23
2020-07-19,40,22,75,14
2020-07-26,33,20,74,14
2020-08-02,31,17,75,12
2020-08-09,34,15,78,16
2020-08-16,31,15,74,15
2020-08-23,34,15,74,17
2020-08-30,39,16,79,20
2020-09-06,46,15,84,19
2020-09-13,49,16,70,20
2020-09-20,47,16,83,16
2020-09-27,35,11,64,16
2020-10-04,43,19,72,16
2020-10-11,47,20,82,15
2020-10-18,55,21,88,15
2020-10-25,49,19,90,16
2020-11-01,41,16,80,19
2020-11-08,46,16,82,14
2020-11-15,46,16,84,14
2020-11-22,42,16,88,15
2020-11-29,45,15,90,16
2020-12-06,49,22,83,14
2020-12-13,48,14,84,13
2020-12-20,30,12,74,20
2020-12-27,26,12,70,15
2021-01-03,29,18,79,13
2021-01-10,28,14,87,18
2021-01-17,30,14,78,18
2021-01-24,29,14,78,13
2021-01-31,27,15,76,13
2021-02-07,23,11,65,13
2021-02-14,27,15,76,13
2021-02-21,26,16,73,15
2021-02-28,34,14,73,10
2021-03-07,43,14,82,11
2021-03-14,44,15,83,11
2021-03-21,42,14,72,10
2021-03-28,44,16,100,10
2021-04-04,45,15,76,11
2021-04-11,48,16,79,12
2021-04-18,58,18,83,13
2021-04-25,44,16,82,13
2021-05-02,43,13,88,11
2021-05-09,44,16,84,12
2021-05-16,44,13,78,12
2021-05-23,47,16,86,12
2021-05-30,49,15,78,11
2021-06-06,52,14,84,13
2021-06-13,45,14,75,11
2021-06-20,35,15,75,13
2021-06-27,32,15,75,14
2021-07-04,30,12,80,12
2021-07-11,33,12,78,13
2021-07-18,28,11,69,13
2021-07-25,28,10,67,11
2021-08-01,25,11,64,11
2021-08-08,27,9,66,14
2021-08-15,27,10,68,12
2021-08-22,30,13,71,12
2021-08-29,34,14,68,11
2021-09-05,40,15,72,12
2021-09-12,42,14,76,12
2021-09-19,33,10,66,10
2021-09-26,44,17,77,12
2021-10-03,40,18,75,11
2021-10-10,42,16,73,13
2021-10-17,51,19,83,12
2021-10-24,50,13,83,11
2021-10-31,45,15,77,12
2021-11-07,45,14,81,12
2021-11-14,43,13,80,13
2021-11-21,44,13,84,14
2021-11-28,43,13,80,14
2021-12-05,43,14,77,14
2021-12-12,44,12,75,13
2021-12-19,35,12,74,14
2021-12-26,28,12,74,11
2022-01-02,31,15,84,13
2022-01-09,33,15,71,14
2022-01-16,31,14,70,13
2022-01-23,28,12,69,12
2022-01-30,24,11,59,12
2022-02-06,32,15,75,14
2022-02-13,31,16,71,14
2022-02-20,33,14,76,16
2022-02-27,34,13,81,20
2022-03-06,48,17,77,16
2022-03-13,54,16,83,16
2022-03-20,52,18,79,23
2022-03-27,56,16,82,26
2022-04-03,59,19,79,23
2022-04-10,62,27,79,18
2022-04-17,73,25,83,18
2022-04-24,57,26,76,19
2022-05-01,55,23,72,17
2022-05-08,56,23,79,16
2022-05-15,57,21,80,16
2022-05-22,55,18,83,14
2022-05-29,54,18,79,16
2022-06-05,52,16,81,14
2022-06-12,57,16,87,15
2022-06-19,44,15,82,13
2022-06-26,35,14,91,14
2022-07-03,37,15,78,14
2022-07-10,41,13,76,16
2022-07-17,34,14,73,13
2022-07-24,31,19,65,13
2022-07-31,30,16,64,12
2022-08-07,30,15,62,12
2022-08-14,32,15,62,12
2022-08-21,37,16,70,13
2022-08-28,38,16,75,13
2022-09-04,41,14,65,12
2022-09-11,44,15,71,14
2022-09-18,52,20,74,13
2022-09-25,51,22,83,12
2022-10-02,46,23,74,13
2022-10-09,50,21,84,14
2022-10-16,56,20,79,12
2022-10-23,54,24,80,13
2022-10-30,48,17,83,13
2022-11-06,52,18,78,14
2022-11-13,48,17,91,14
2022-11-20,50,16,72,15
2022-11-27,47,14,81,12
2022-12-04,47,16,75,12
2022-12-11,46,15,80,12
2022-12-18,38,16,77,12
2022-12-25,28,14,64,12
2023-01-01,30,14,68,11
2023-01-08,30,15,65,12
2023-01-15,30,13,61,12
2023-01-22,26,11,55,11
2023-01-29,31,14,64,13
2023-02-05,30,16,65,13
2023-02-12,30,16,63,13
2023-02-19,31,17,61,12
2023-02-26,30,19,62,11
2023-03-05,42,15,67,11
2023-03-12,49,16,73,13
2023-03-19,52,19,75,12
2023-03-26,48,19,70,12
2023-04-02,56,20,72,11
2023-04-09,57,22,72,12
2023-04-16,64,19,73,12
2023-04-23,52,22,75,12
2023-04-30,45,17,63,11
2023-05-07,52,21,71,12
2023-05-14,50,16,68,12
2023-05-21,43,14,61,9
2023-05-28,42,13,58,10
2023-06-04,42,11,58,9
2023-06-11,47,14,60,15
2023-06-18,37,14,58,12
2023-06-25,31,14,51,11
2023-07-02,31,14,58,11
2023-07-09,36,12,65,11
2023-07-16,28,11,51,10
2023-07-23,25,12,51,10
2023-07-30,26,11,49,10
2023-08-06,28,10,50,11
2023-08-13,26,12,54,11
2023-08-20,32,14,60,12
2023-08-27,32,14,61,12
2023-09-03,36,17,55,10
2023-09-10,41,13,56,10
2023-09-17,44,23,61,14
2023-09-24,34,12,46,13
2023-10-01,37,14,49,13
2023-10-08,43,18,63,13
2023-10-15,46,16,63,13
2023-10-22,49,18,64,12
2023-10-29,41,15,63,11
2023-11-05,41,14,61,14
2023-11-12,41,14,62,12
2023-11-19,46,15,58,13
2023-11-26,45,15,65,15
2023-12-03,40,15,65,12
2023-12-10,37,13,62,11
2023-12-17,32,14,59,12
2023-12-24,24,12,48,12
2023-12-31,24,12,56,11
2024-01-07,28,13,61,12
2024-01-14,25,12,56,14
2024-01-21,23,12,59,18
2024-01-28,25,12,53,19
2024-02-04,24,10,51,15
2024-02-11,24,11,50,15
2024-02-18,24,13,47,14
2024-02-25,22,13,46,15
2024-03-03,32,12,58,15
2024-03-10,42,12,69,16
2024-03-17,45,14,62,14
2024-03-24,43,17,61,13
2024-03-31,46,21,64,12
2024-04-07,47,42,59,14
2024-04-14,51,24,65,14
2024-04-21,50,20,61,14
2024-04-28,40,21,53,12
2024-05-05,42,16,59,12
2024-05-12,44,30,65,12
2024-05-19,48,21,65,13
2024-05-26,48,25,65,14
2024-06-02,43,17,61,14
2024-06-09,52,21,67,19
2024-06-16,46,23,69,19
2024-06-23,33,33,56,15
2024-06-30,31,57,60,15
2024-07-07,38,24,68,17
2024-07-14,36,19,67,14
2024-07-21,30,20,61,14
2024-07-28,28,17,62,13
2024-08-04,27,15,66,12
2024-08-11,27,13,66,14
2024-08-18,32,14,67,14
2024-08-25,33,17,68,13
2024-09-01,42,19,69,14
2024-09-08,43,17,75,15
2024-09-15,32,12,63,18
2024-09-22,43,21,74,15
2024-09-29,37,19,69,15
2024-10-06,41,24,70,13
